### Misc	Misc	Misc
zero	Lion	??
poissibly numb -> feel-NEG-GER	Lion	??
yikes	Lion	??
with	Lion	??
then	Lion	??
from	Lion	??
FUT	Lion	??
HYP	Lion	plums
CNT	Lion	??
IMP	Lion	plums, child book
RO 	Lion,Crab	child books
personal pronouns	Lion	plums,verb tutorial
?	Lion	??
verb forns	Lion	??
PL	Lion	??
-&	Lion	??
than	Lion	??
too	Lion	??
PRF	Crab,Lion	plums
IMPF	Crab 	??
CNT	Crab 	??
DEP	Crab,Lion	??
yes	Crab 	??
and	Crab,Lion	plums,child books
SUP	Crab!!	??
ADV !!	Crab,Lion	??
NEG !!	Crab,Lion	??
GER !!	Crab,Lion	??
PAT	Crab	??
PAS	Crab,Lion	plums
DIM	Crab	??
wow	Crab	child books
but	Crab	??
toward	Crab	??
by [e.g. exceed by]	Crab	??
during	Crab	??

### Adverbs	Adverbs	Adverbs
now	Lion 	??
that-time	Lion 	??
no-time	Lion 	??
that-reason	Lion 	??
this-reason	Lion 	??
this-place	Lion 	??
that-place	Lion 	child books
down	Lion 	??
in-ADV	Lion 	child books
on-ADV	Lion 	??
between	Lion 	??
any-time	Lion 	??
among	Lion 	??
again	Lion 	??
how	Crab	??
what	Crab	??
what-quantity	Crab	??
why	Crab	??
"of course"	Crab	??
this-way	Crab	??
that-reason	Crab	??
together	Crab	??
that-way	Crab	??
this-SUB/-OBJ	Crab	plums
that-SUB/-OBJ	Crab	??
some-person (someone)	Crab	??
every-person (everyone)	Crab	??
some-time	Crab	??
technically	Crab	??

### Verbs	Verbs	Verbs
be	Lion 	??
be located	Lion 	plums
can	Lion 	??
do	Lion 	??
exist	Lion 	??
go	Lion 	child books
possess	Lion 	??
know	Lion 	??
see	Lion 	??
believe	Lion 	??
bend	Lion 	??
break	Lion 	??
bring	Lion 	??
call	Lion 	??
choose	Lion 	??
come	Lion,Crab 	??
drive	Lion 	??
emit	Lion 	??
feel	Lion 	??
float	Lion 	??
hang out	Lion 	??
help	Lion 	??
hold	Lion 	??
inhale	Lion 	??
last [as in, continue existing]	Lion 	??
learn	Lion 	??
leave [as in, leave the key in the door]	Lion 	??
lie [down]	Lion 	??
love	Lion 	??
mend	Lion 	??
put	Lion 	??
reflect	Lion 	??
run	Lion 	??
struggle	Lion 	??
swear	Lion 	??
use	Lion 	??
wait	Lion 	??
wipe	Lion 	??
write	Lion 	??
end [transitive]	Crab	??
remain [e.g. not much time remains]	Crab	??
take	Crab	??
possess	Crab	??
start	Crab	??
suppose	Crab	??
play	Crab	??
make	Crab	??
count	Crab	??
may	Crab	??
open	Crab	??
worth	Crab	??
choose	Crab	??
lead	Crab	??
think	Crab	??
deserve	Crab	??
give	Crab	??
fight	Crab	??
look	Crab	??
should	Crab	??
seem	Crab	??
get	Crab	??
exceed	Crab	??
hear	Crab	??
put	Crab	??
bell (as in, put a bell on)	Crab	??
attach	Crab	??
finish (as in, exaust)	Crab	??
manage (as in, manage to do something)	Crab	??
occur	Crab	??

### Nouns	Nouns	Nouns
dish	Lion 	??
sink	Lion 	??
breakfast	Lion 	plums
cocaine	Lion 	??
heart	Lion 	??
glue	Lion 	??
top	Lion 	??
much	Lion,Crab 	??
[back streets]	Lion 	??
light	Lion 	??
spot [as in blemish]	Lion 	??
mirror	Lion 	??
key	Lion 	??
door	Lion 	??
towel	Lion 	??
dream	Lion 	??
water	Lion 	??
wine	Lion 	??
wheel	Lion 	??
tomorrow (??)	Lion 	??
any-thing (??)	Lion 	??
eye	Lion 	??
arm	Lion 	??
shoe_colloquial	Lion 	??
gun	Lion 	??
bullet	Lion 	??
all	Lion,Crab 	??
baby (endearing term, maybe also child)	Lion 	??
interior	Lion 	plums
exterior	Lion 	??
heaven	Lion 	??
line [phone line]	Lion 	??
day	Lion 	??
night	Lion 	child books
star	Lion 	??
scar	Lion 	??
heart	Lion 	??
penny	Pidgey 	??
nickel	Pidgey 	??
dime	Pidgey 	??
quarter	Pidgey 	??
dollar	Pidgey 	??
Helium	Pidgey 	??
Neon	Pidgey 	??
Argon	Pidgey 	??
Krypton	Pidgey 	??
Xenon	Pidgey 	??
Radon	Pidgey 	??
Mercury	Pidgey 	??
Venus	Pidgey 	??
Earth	Pidgey 	??
Mars	Pidgey 	??
Jupiter	Pidgey 	??
Saturn	Pidgey 	??
Uranus	Pidgey 	??
Neptune	Pidgey 	??
[rocks]	Pidgey 	exceptional expeditions
[zodiac]	Pidgey 	??
war	Crab	??
millenium	Crab	??
time	Crab	child books
letter	Crab	??
point [maybe don't teach]	Crab	??
square	Crab	??
word	Crab	??
satellite-dish	Crab	??
question	Crab	??
peace	Crab	??
conference	Crab	??
score	Crab	??
game	Crab	??
victory	Crab	??
color	Crab	??
bag	Crab	??
place [as in, second place]	Crab	child books
difference	Crab	??
corner	Crab	??

### Adj	Adj	Adj
full	Lion 	??
some	Lion 	??
random	Lion 	??
wet	Lion 	??
open	Lion 	??
fast	Lion 	??
false	Lion 	??
late	Lion 	??
any	Lion 	??
parabolic	Rat	??
muddy	Rat	??
blue	Rat,pidgey	??
silver	Rat	??
lunar	Rat	child books
clear	Rat	??
dazzling	Rat	??
dual	Rat	??
ancient	Rat (decoy)	??
aromatic	Rat (decoy)	??
fiery	Rat (decoy)	??
half	Pidgey
red	Pidgey 	??
orange	Pidgey 	??
yellow	Pidgey 	??
green	Pidgey 	??
indigo	Pidgey 	??
violet	Pidgey 	child books
cold	Crab	plums
same	Crab	??
good	Crab	child books
glad	Crab	??
sad	Crab	??
excited	Crab	??
bonus	Crab	??
first	Crab	??
bad	Crab	??
double	Crab	??
two	Crab	??
second	Crab	??
blank	Crab	??
triple	Crab	??
many	Crab	??
important	Crab	??
real	Crab	??
quiet	Crab	??
true	Crab	??
long	Crab	??
whole	Crab	??
write	Crab	??
dangerous	Crab	??
North/South/East/West	Crab	??
final	Crab	??
right [correct]	Crab	??
[TODO: wepp names for civilizations]	.	.

### Answers	Answers	Answers
EXTRACTION	Crab	??
SALMON	Crab	??
LEATHER COATS	Crab	??
INDOORS	Crab	??
DJINNI	Crab	??
MATRIX	Crab	??
UPPERCUT	Crab	??
DAZZLING	Crab	??
FUNNY PAGES	Crab	??
NORTHEASTER	Crab	??
KINDERGARTEN	Crab	??
SKI LIFT	Crab	??
STRONGER	Crab	??
PRESIDENT	Crab	??
TRUE FORM	Crab	??
SLOW DOWN	Crab	??

